name,time,index,rank,value,lastValue,age
Batman (1989),1997-06-01,37,3,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1997-06-01,37,4,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1997-06-01,37,5,82825878.6039085,82825878.6039085,0.2
Independence Day (1996),1997-06-01,37,6,80235152.9797109,80235152.9797109,0.9
Mission: Impossible (1996),1997-06-01,37,7,73692913.0238673,73692913.0238673,0.8
The Lion King (1994),1997-06-01,37,8,70261343.6694523,70261343.6694523,0.4
Batman and Robin (1997),1997-06-01,37,9,68014898.9734082,0,1
Twister (1996),1997-06-01,37,10,66593271.6141672,66593271.6141672,0.8
Ace Ventura: When Nature Calls (1995),1997-06-01,37,11,62429046.8307212,62429046.8307212,0.7
Indiana Jones and the Temple of Doom (1984),1997-06-01,37,12,62096198.9612343,62096198.9612343,0
The Lost World: Jurassic Park (1997),1997-12-01,38,1,114434475.918727,114434475.918727,0.9
Batman Forever (1995),1997-12-01,38,2,88025315.4729921,88025315.4729921,0.5
Batman (1989),1997-12-01,38,3,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1997-12-01,38,4,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1997-12-01,38,5,82825878.6039085,82825878.6039085,0.1
Independence Day (1996),1997-12-01,38,6,80235152.9797109,80235152.9797109,0.8
Men in Black (1997),1997-12-01,38,7,80215980.8488257,0,1
Mission: Impossible (1996),1997-12-01,38,8,73692913.0238673,73692913.0238673,0.7
The Lion King (1994),1997-12-01,38,9,70261343.6694523,70261343.6694523,0.3
Batman and Robin (1997),1997-12-01,38,10,68014898.9734082,68014898.9734082,0.9
Twister (1996),1997-12-01,38,11,66593271.6141672,66593271.6141672,0.7
Ace Ventura: When Nature Calls (1995),1997-12-01,38,12,62429046.8307212,62429046.8307212,0.6
The Lost World: Jurassic Park (1997),1998-06-01,39,1,114434475.918727,114434475.918727,0.8
Batman Forever (1995),1998-06-01,39,2,88025315.4729921,88025315.4729921,0.4
Batman (1989),1998-06-01,39,3,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1998-06-01,39,4,82879660.0658672,82879660.0658672,0
Jurassic Park (1993),1998-06-01,39,5,82825878.6039085,82825878.6039085,0
Independence Day (1996),1998-06-01,39,6,80235152.9797109,80235152.9797109,0.7
Men in Black (1997),1998-06-01,39,7,80215980.8488257,80215980.8488257,0.9
Mission: Impossible (1996),1998-06-01,39,8,73692913.0238673,73692913.0238673,0.6
The Lion King (1994),1998-06-01,39,9,70261343.6694523,70261343.6694523,0.2
Godzilla (1998),1998-06-01,39,10,68762865.1724079,0,1
Batman and Robin (1997),1998-06-01,39,11,68014898.9734082,68014898.9734082,0.8
Twister (1996),1998-06-01,39,12,66593271.6141672,66593271.6141672,0.6
The Lost World: Jurassic Park (1997),1998-12-01,40,1,114434475.918727,114434475.918727,0.7
Batman Forever (1995),1998-12-01,40,2,88025315.4729921,88025315.4729921,0.3
